_ - name,rank,enlabel,gov identfier,award,_ - external_url
CAPT VISHAL BHANDRAL,Capt ,Vishal Bhandral,vishal-bhandral,Kirti Chakra,http://gallantryawards.gov.in/Awardee/vishal-bhandral
CAPT ZALA AJITKUMAR ARSHIBHAI,Capt ,Zala Ajitkumar Arshibhai,zala-ajitkumar-arshibhai,Kirti Chakra,http://gallantryawards.gov.in/Awardee/zala-ajitkumar-arshibhai
CE GDE-2 B S SADHRAO,Ce Gde-2 ,B S Sadhrao,b-s-sadhrao,Kirti Chakra,http://gallantryawards.gov.in/Awardee/b-s-sadhrao
CFN JAIKARAN,Cfn ,Jaikaran,jaikaran,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jaikaran
CH/ MAN GB PATNAIK (POSTHUMOUS),Ch/ Man Gb Patnaik (posthumous),G B Patnaik,gb-patnaik-posthumous,Kirti Chakra,http://gallantryawards.gov.in/Awardee/gb-patnaik-posthumous
CHETAN KUMAR CHEETA,,Chetan Kumar Cheeta,chetan-kumar-cheeta,Kirti Chakra,http://gallantryawards.gov.in/Awardee/chetan-kumar-cheeta
CHM JAGTAP SHIVAJI BALU,Chm ,Jagtap Shivaji Balu,jagtap-shivaji-balu,Kirti Chakra,http://gallantryawards.gov.in/Awardee/jagtap-shivaji-balu
CHM SUSAI PILLAI MICHEAL,Chm ,Susai Pillai Micheal,susai-pillai-micheal,Kirti Chakra,http://gallantryawards.gov.in/Awardee/susai-pillai-micheal
COL GURBIR SINGH SARNA,Col ,Gurbir Singh Sarna,gurbir-singh-sarna,Kirti Chakra,http://gallantryawards.gov.in/Awardee/gurbir-singh-sarna
"COL INDERJIT SINGH, VSM","Col , Vsm",Inderjit Singh,inderjit-singh-vsm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/inderjit-singh-vsm
"COL NARINDER KUMAR, PVSM, AVSM","Col , Pvsm, Avsm",Narinder Kumar,narinder-kumar-pvsm-avsm,Kirti Chakra,http://gallantryawards.gov.in/Awardee/narinder-kumar-pvsm-avsm
COMDT Zuheto Swu,Comdt ,Zuheto Swu,zuheto-swu,Kirti Chakra,http://gallantryawards.gov.in/Awardee/zuheto-swu
Constable Ambadas Ramachandra Powar,Constable ,Ambadas Ramachandra Powar,constable-ambadas-ramachandra-powar,Kirti Chakra,http://gallantryawards.gov.in/Awardee/constable-ambadas-ramachandra-powar
CORPORAL AKHILESH KUMAR MISHRA,Corporal ,Akhilesh Kumar Mishra,corporal-akhilesh-kumar-mishra,Kirti Chakra,http://gallantryawards.gov.in/Awardee/corporal-akhilesh-kumar-mishra
DAULA,,Daula,daula,Kirti Chakra,http://gallantryawards.gov.in/Awardee/daula
